,redshift,Xe
931,681.949229226,0.00100409794919
932,671.920578797,0.000949238288066
933,661.891928367,0.000899690654838
934,651.863277937,0.000854745879384
935,641.834627507,0.000813808401073
936,631.805977077,0.000776376208657
937,621.777326648,0.000742024387628
938,611.748676218,0.000710391518221
939,601.720025788,0.000681168817311
940,591.691375358,0.000654091326536
941,581.662724928,0.000628930761082
942,571.634074499,0.000605489408993
943,561.605424069,0.000583595767197
944,551.576773639,0.000563099936207
945,541.548123209,0.000543870414054
946,531.519472779,0.000525791570576
947,521.49082235,0.000508761339531
948,511.46217192,0.000492689292658
949,501.43352149,0.00047749496047
950,491.40487106,0.000463106552843
951,481.37622063,0.000449459824584
